Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
CBS,0.0,1.0,0.0,0.0,28,Wed Jun 06 01:44:51 +0000 2018,"The Associated Press called the Democratic Senate primary for incumbent Sen. Bob Menendez, although the race was a… https://t.co/uczUVKQyzd"
CBS,0.0,1.0,0.0,0.0,29,Wed Jun 06 01:37:32 +0000 2018,"Democratic Rep. Keith Ellison, the vice chairman of the Democratic National Committee, announced he's running for a… https://t.co/ExNGq2TPlK"
CBS,0.0,0.844,0.156,0.4728,30,Wed Jun 06 01:14:22 +0000 2018,"“As far as the top of the ticket in November, the U.S. Senate race, there is a very small chance that Bob Hugin is… https://t.co/ucZ859s0R3"
CBS,0.0,0.861,0.139,0.5267,31,Wed Jun 06 01:00:28 +0000 2018,Democrats will need to flip 23 seats in Republican-held districts in order to gain control of the House in 2018. CB… https://t.co/m7LxRkTJdC
CBS,0.076,0.924,0.0,-0.1027,32,Wed Jun 06 00:21:38 +0000 2018,"When a five-year-old boy challenged a firefighter to a race to suit up in full gear, a heated competition ensued. A… https://t.co/NBvmiZUiZp"
CBS,0.0,1.0,0.0,0.0,33,Wed Jun 06 00:14:31 +0000 2018,"""It depends on whether those trends we saw in that December election repeat. One of the things you did see [Doug] J… https://t.co/AO9fFv2GoH"
CBS,0.0,1.0,0.0,0.0,34,Wed Jun 06 00:03:48 +0000 2018,"Polls are closing in Alabama, Mississippi, New Jersey and South Dakota. Follow our live blog for updates on Tuesday… https://t.co/4cx2FsmCQ8"
CBS,0.134,0.693,0.173,0.2263,35,Tue Jun 05 23:54:30 +0000 2018,The Secret Service arrested a contractor outside the White House for an outstanding warrant that includes an attemp… https://t.co/itFNlJZNVn
CBS,0.191,0.809,0.0,-0.5423,36,Tue Jun 05 23:37:59 +0000 2018,"Kelly Sadler, the White House aide who mocked Sen. McCain about his health last month, is ""no longer employed withi… https://t.co/QHujSARaiz"
CBS,0.0,1.0,0.0,0.0,37,Tue Jun 05 23:29:35 +0000 2018,"Tuesday marks one of the most closely-watched election days before November's midterm elections as eight states, in… https://t.co/SfFnrm8eYJ"
